date,spx,dji,ixic,rut
1997-11-13,916.66,7487.7998,1559.25,423.39
1997-11-14,928.35,7572.5,1583.51,428.41
1997-11-17,946.2,7698.2002,1614.11,435.65
1997-11-18,938.23,7650.7998,1600.4399,432.13
1997-11-19,944.59,7724.7002,1601.22,430.69
1997-11-20,958.98,7826.6001,1626.5601,435.7
1997-11-21,963.09,7881.0698,1620.75,435.05
1997-11-24,946.67,7767.8999,1586.99,427.83
1997-11-25,950.82,7809.0,1589.04,426.91
1997-11-26,951.64,7794.7998,1594.5,428.16
1997-11-28,955.4,7823.1001,1600.55,429.92
1997-12-01,974.77,8013.1001,1630.72,434.16
1997-12-02,971.68,8018.7998,1606.37,432.48
1997-12-03,976.77,8032.0,1615.13,433.81
1997-12-04,973.1,8050.2002,1613.42,434.91
1997-12-05,983.79,8149.1001,1633.9,438.06
1997-12-08,982.37,8110.7998,1651.54,442.03
1997-12-09,975.78,8049.7002,1620.55,438.16
1997-12-10,969.79,7978.7998,1596.61,432.81
1997-12-11,954.94,7849.0,1558.54,424.7
1997-12-12,953.39,7838.2998,1536.58,422.63
1997-12-15,963.39,7922.6001,1536.5601,420.76
1997-12-16,968.04,7976.2998,1553.0,425.34
1997-12-17,965.54,7957.3999,1547.37,426.44
1997-12-18,955.3,7846.5,1523.1899,420.35
1997-12-19,946.78,7756.2998,1524.74,420.03
1997-12-22,953.7,7819.2998,1532.0601,422.88
1997-12-23,939.13,7691.7998,1509.91,422.03
1997-12-24,932.7,7660.1299,1499.53,421.04
1997-12-26,936.46,7679.2998,1511.38,421.49
1997-12-29,953.35,7792.3999,1537.45,426.67
1997-12-30,970.84,7916.0,1565.03,434.01
1997-12-31,970.43,7908.2998,1570.35,437.02
1998-01-02,975.04,7965.0,1581.53,436.52
1998-01-05,977.07,7979.0,1594.12,437.06
1998-01-06,966.58,7906.25,1580.14,433.1
1998-01-07,964.0,7902.2998,1561.7,429.79
1998-01-08,956.05,7802.6001,1555.54,425.71
1998-01-09,927.69,7580.3999,1503.22,412.95
1998-01-12,939.21,7647.2002,1507.58,410.88
1998-01-13,952.12,7732.1001,1541.63,418.44
1998-01-14,957.94,7784.7002,1548.76,421.93
1998-01-15,950.73,7691.7998,1547.0601,421.75
1998-01-16,961.51,7753.5,1562.88,426.25
1998-01-20,978.6,7873.1001,1590.14,431.31
1998-01-21,970.81,7794.3999,1587.92,429.89
1998-01-22,963.04,7730.8999,1576.51,426.2
1998-01-23,957.59,7700.7002,1575.9301,424.81
1998-01-26,956.95,7712.9399,1561.46,421.01
1998-01-27,969.02,7815.0801,1578.9,422.53
1998-01-28,977.46,7915.4702,1610.8199,428.6
1998-01-29,985.49,7973.02,1619.49,431.99
1998-01-30,980.28,7906.5,1619.36,430.05
1998-02-02,1001.27,8107.7798,1652.89,434.42
1998-02-03,1006.0,8160.3501,1666.34,437.8
1998-02-04,1006.9,8129.71,1680.4399,441.84
1998-02-05,1003.54,8117.25,1676.9,444.06
1998-02-06,1012.46,8189.4902,1694.35,445.5
1998-02-09,1010.74,8180.52,1690.4301,447.28
1998-02-10,1019.01,8295.6104,1709.04,451.19
1998-02-11,1020.01,8314.5498,1708.55,452.02
1998-02-12,1024.14,8369.5996,1714.34,452.4
1998-02-13,1020.09,8370.0996,1710.42,454.29
1998-02-17,1022.76,8398.5,1703.4301,453.19
1998-02-18,1032.08,8451.0596,1715.73,454.69
1998-02-19,1028.28,8375.5801,1727.01,454.21
1998-02-20,1034.21,8413.9404,1728.13,453.99
1998-02-23,1038.14,8410.2002,1751.76,456.29
1998-02-24,1030.5601,8370.0996,1738.71,454.3
1998-02-25,1042.9,8457.7803,1766.48,458.49
1998-02-26,1048.67,8490.6699,1777.11,461.54
1998-02-27,1049.34,8545.7197,1770.51,461.83
1998-03-02,1047.7,8550.4502,1758.54,461.54
1998-03-03,1052.02,8584.8301,1757.14,462.42
1998-03-04,1047.33,8539.2402,1759.7,462.13
1998-03-05,1035.05,8444.3301,1711.92,456.82
1998-03-06,1055.6899,8569.3896,1753.49,463.72
1998-03-09,1052.3101,8567.1396,1725.16,461.12
1998-03-10,1064.25,8643.1201,1748.51,464.62
1998-03-11,1068.47,8675.75,1756.85,467.12
1998-03-12,1069.92,8659.5596,1764.0601,467.77
1998-03-13,1068.61,8602.5195,1771.66,468.77
1998-03-16,1079.27,8718.8496,1788.1801,471.76
1998-03-17,1080.45,8749.9902,1779.3,471.11
1998-03-18,1085.52,8775.4004,1788.28,472.18
1998-03-19,1089.74,8803.0498,1799.98,474.3
1998-03-20,1099.16,8906.4297,1789.16,474.25
1998-03-23,1095.55,8816.25,1792.51,473.96
1998-03-24,1105.65,8904.4404,1812.4399,476.26
1998-03-25,1101.9301,8872.7998,1824.51,477.14
1998-03-26,1100.8,8846.8896,1828.54,477.81
1998-03-27,1095.4399,8796.0801,1823.62,477.15
1998-03-30,1093.6,8782.1201,1818.7,476.22
1998-03-31,1101.75,8799.8096,1835.6801,480.68
1998-04-01,1108.15,8868.3203,1847.66,484.93
1998-04-02,1120.01,8986.6396,1852.96,486.43
1998-04-03,1122.7,8983.4102,1855.4,485.79
1998-04-06,1121.38,9033.2305,1829.14,481.88
1998-04-07,1109.55,8956.5,1798.71,475.15
1998-04-08,1101.65,8891.4805,1807.01,475.33
1998-04-09,1110.67,8994.8604,1820.24,480.04
1998-04-13,1109.6899,9012.2998,1824.95,479.56
1998-04-14,1115.75,9110.2002,1843.03,484.85
1998-04-15,1119.3199,9162.2695,1863.26,487.12
1998-04-16,1108.17,9076.5703,1858.24,484.41
1998-04-17,1122.72,9167.5,1866.6,487.01
1998-04-20,1123.65,9141.8398,1887.14,488.81
1998-04-21,1126.67,9184.9404,1903.87,491.41
1998-04-22,1130.54,9176.7197,1917.61,491.14
1998-04-23,1119.58,9143.3301,1881.39,484.95
1998-04-24,1107.9,9064.6201,1868.96,480.32
1998-04-27,1086.54,8917.6396,1820.3101,468.5
1998-04-28,1085.11,8898.96,1831.77,472.54
1998-04-29,1094.62,8951.5195,1851.64,476.98
1998-04-30,1111.75,9063.3701,1868.41,482.89
1998-05-01,1121.0,9147.0703,1873.4399,484.94
1998-05-04,1122.0699,9192.6602,1878.86,485.46
1998-05-05,1115.5,9147.5703,1864.91,481.74
1998-05-06,1104.92,9054.6504,1856.6801,479.37
1998-05-07,1095.14,8976.6797,1835.14,475.96
1998-05-08,1108.14,9055.1504,1864.37,479.51
1998-05-11,1106.64,9091.5195,1848.0699,476.9
1998-05-12,1115.79,9161.7695,1860.16,476.13
1998-05-13,1118.86,9211.8398,1866.1801,477.48
1998-05-14,1117.37,9172.2305,1865.36,475.55
1998-05-15,1108.73,9096.0,1846.77,472.44
1998-05-18,1105.8199,9050.9102,1831.62,467.61
1998-05-19,1109.52,9054.6504,1845.87,470.86
1998-05-20,1119.0601,9171.4805,1831.75,468.54
1998-05-21,1114.64,9132.3701,1820.99,467.19
1998-05-22,1110.47,9114.4404,1805.0,462.99
1998-05-26,1094.02,8963.7305,1778.09,455.08
1998-05-27,1092.23,8936.5703,1781.1,450.26
1998-05-28,1097.6,8970.2002,1794.62,455.81
1998-05-29,1090.8199,8899.9502,1778.87,456.62
1998-06-01,1090.98,8922.3701,1746.8199,451.17
1998-06-02,1093.22,8891.2402,1761.79,449.7
1998-06-03,1082.73,8803.7998,1742.3101,449.16
1998-06-04,1094.83,8870.5596,1769.95,451.74
1998-06-05,1113.86,9037.71,1782.92,454.24
1998-06-08,1115.72,9069.5996,1787.77,456.34
1998-06-09,1118.41,9049.9199,1800.76,456.74
1998-06-10,1112.28,8971.7002,1773.25,451.08
1998-06-11,1094.58,8811.7695,1749.75,444.35
1998-06-12,1098.84,8834.9404,1745.05,441.59
1998-06-15,1077.01,8627.9297,1715.75,433.86
1998-06-16,1087.59,8665.29,1753.12,438.37
1998-06-17,1107.11,8829.46,1776.4,444.08
1998-06-18,1106.37,8813.0098,1772.7,439.79
1998-06-19,1100.65,8712.8701,1781.29,438.47
1998-06-22,1103.21,8711.1299,1805.8199,441.65
1998-06-23,1119.49,8828.46,1844.5699,447.42
1998-06-24,1132.88,8923.8701,1877.76,451.31
1998-06-25,1129.28,8935.5801,1863.25,450.16
1998-06-26,1133.2,8944.54,1869.53,450.27
1998-06-29,1138.49,8997.3604,1891.08,453.83
1998-06-30,1133.84,8952.0195,1894.74,457.39
1998-07-01,1148.5601,9048.6699,1914.46,459.85
1998-07-02,1146.42,9025.2598,1894.0,458.31
1998-07-06,1157.33,9091.7695,1909.47,459.97
1998-07-07,1154.66,9085.04,1908.11,459.04
1998-07-08,1166.38,9174.9697,1935.39,459.97
1998-07-09,1158.5601,9089.7803,1939.8199,460.0
1998-07-10,1164.33,9105.7402,1943.04,458.43
1998-07-13,1165.1899,9096.21,1965.53,458.75
1998-07-14,1177.58,9245.54,1968.41,459.43
1998-07-15,1174.8101,9234.4697,1994.54,461.98
1998-07-16,1183.99,9328.1904,2000.5601,463.64
1998-07-17,1186.75,9337.9697,2008.76,462.36
1998-07-20,1184.1,9295.75,2014.25,461.92
1998-07-21,1165.0699,9190.1904,1979.14,456.14
1998-07-22,1164.08,9128.9102,1969.75,450.93
1998-07-23,1139.75,8932.9805,1935.22,442.33
1998-07-24,1140.8,8937.3604,1930.99,438.58
1998-07-27,1147.27,9028.2402,1933.26,433.16
1998-07-28,1130.24,8934.7803,1896.53,427.54
1998-07-29,1125.21,8914.96,1881.49,426.19
1998-07-30,1142.95,9026.9502,1919.58,429.5
1998-07-31,1120.67,8883.29,1872.39,419.75
1998-08-03,1112.4399,8786.7402,1851.1,413.36
1998-08-04,1072.12,8487.3096,1785.64,401.63
1998-08-05,1081.4301,8546.7803,1788.2,398.69
1998-08-06,1089.63,8577.6797,1829.51,406.62
1998-08-07,1089.45,8598.0195,1846.77,415.8
1998-08-10,1083.14,8574.8496,1839.21,411.64
1998-08-11,1068.98,8462.8496,1792.7,400.6
1998-08-12,1084.22,8552.96,1825.53,408.55
1998-08-13,1074.91,8459.5,1802.54,403.83
1998-08-14,1062.75,8425.0,1790.1899,402.79
1998-08-17,1083.67,8574.8496,1818.04,403.96
1998-08-18,1101.2,8714.6504,1855.12,411.29
1998-08-19,1098.0601,8693.2803,1842.6899,405.84
1998-08-20,1091.6,8611.4102,1832.45,401.73
1998-08-21,1081.24,8533.6504,1797.61,395.64
1998-08-24,1088.14,8566.6104,1790.8199,393.7
1998-08-25,1092.85,8602.6504,1798.17,389.76
1998-08-26,1084.1899,8523.3496,1768.13,380.42
1998-08-27,1042.59,8165.9902,1686.41,366.1
1998-08-28,1027.14,8051.6802,1639.6801,358.54
1998-08-31,957.28,7539.0698,1499.25,337.95
1998-09-01,994.26,7827.4302,1575.09,346.19
1998-09-02,990.48,7782.3701,1592.85,352.65
1998-09-03,982.26,7682.2202,1571.86,346.29
1998-09-04,973.89,7640.25,1566.52,347.07
1998-09-08,1023.46,8020.7798,1660.86,361.93
1998-09-09,1006.2,7865.02,1624.55,352.69
1998-09-10,980.19,7615.54,1585.33,344.97
1998-09-11,1009.06,7795.5,1641.64,353.62
1998-09-14,1029.72,7945.3501,1665.6899,357.72
1998-09-15,1037.6801,8024.3901,1678.11,357.73
1998-09-16,1045.48,8089.7798,1689.91,359.85
1998-09-17,1018.87,7873.77,1646.25,355.29
1998-09-18,1020.09,7895.6602,1663.77,363.26
1998-09-21,1023.89,7933.25,1680.4301,362.64
1998-09-22,1029.63,7897.2002,1697.8,368.24
1998-09-23,1066.09,8154.4102,1760.27,376.0
1998-09-24,1042.72,8001.9902,1720.34,370.25
1998-09-25,1044.75,8028.77,1743.59,369.02
1998-09-28,1048.6899,8108.8398,1739.22,368.01
